id,name,lat,lon,category,price_tier,open_from,open_to,avg_dwell_min,admission_cost
china-town,Boston Chinatown Eats,42.3513,-71.0620,food,$$,11:00,22:00,90,25
kendall,Kendall Square,42.3626,-71.0860,outdoors,$,06:00,22:00,45,0
harvard-square,Harvard Square,42.3736,-71.1190,outdoors,$,06:00,22:00,60,0
cambridge-food,Cambridge Food Stop,42.3732,-71.1187,food,$$,11:00,22:00,75,20
somerville,Somerville Square Walk,42.3876,-71.0995,outdoors,$,06:00,22:00,60,0
assembly,Assembly Row,42.3925,-71.0771,shopping,$$,10:00,21:00,75,0
shop-fenway,Fenway Shopping Stop,42.3458,-71.0980,shopping,$$,10:00,21:00,60,0
night-seaport,Seaport Night Scene,42.3527,-71.0470,nightlife,$$,17:00,23:00,90,25
night-northend,North End Night Scene,42.3647,-71.0548,nightlife,$$,17:00,23:00,90,25
parks-backbay,Back Bay Green Space,42.3502,-71.0802,outdoors,$,06:00,22:00,60,0
parks-charlestown,Charlestown Park Stop,42.3773,-71.0601,outdoors,$,06:00,22:00,60,0
